stat,exp_year,n_pairs,mean_delta,median_delta,sd_delta
x3p_per_36_min,11,95,0.05719298245614035,0.025,0.5168834058754248
x3p_per_36_min,12,88,-0.015814393939393934,0,0.5090591197264223
x3p_per_36_min,13,74,-0.02567567567567567,0,0.46308302089409925
x3p_per_36_min,14,49,0.013775510204081598,0,0.5581611234743293
x3p_per_36_min,15,38,-0.08157894736842103,0,0.4672902762818532
x3p_per_36_min,16,31,-0.05161290322580644,-0.09999999999999964,0.5087995100799396
x3p_per_36_min,17,19,-0.01403508771929825,-0.09999999999999964,0.4668406804496337
x3p_per_36_min,18,14,0.16428571428571423,0.2000000000000001,0.47975497409076967
x3p_per_36_min,19,7,0.04285714285714293,0.10000000000000009,0.1988059594776009
x3p_per_36_min,20,5,0.24000000000000007,0.40000000000000013,0.6387487769068524
x3p_per_36_min,21,2,0.5999999999999999,0.5999999999999999,0.9899494936611665
x3p_per_36_min,22,1,0.10000000000000009,0.10000000000000009,NA
