Rank;Value;Player Name;Status;Games Played;Total Minutes;PTS;TPM;REB;AST;STL;BLK;TOV;FG%;FGA;FT%;FTA;zPTS;zTPM;zAST;zREB;zSTL;zBLK;zTOV;zFG%;zFT%
66;0.4714397873870133;Donovan Clingan;;62;1649.2;675.8000000000001;18.699199999999998;631.78;112.22;43.4;104.16;88.03999999999999;0.55;509.02000000000004;0.59;164.29999999999998;0.1479338488847292;-0.7826939493587559;-0.1884458634220731;2.1551782986820878;0.040784894031237376;2.601994199217485;-0.2425575029183809;1.2704864857700646;-0.7597223244032738
67;0.467125188216337;Kyle Filipowski;;77;1878.8;977.9;101.60149999999999;573.65;140.91;58.52;44.66;102.41000000000001;0.53;729.19;0.67;167.09;0.7576477356912933;0.4665895657681977;0.022481297311720872;1.8407834056518086;0.5349835742979623;0.6013359077105183;-0.4773272518189231;1.3837986662515716;-0.9261662069171166
68;0.46708338076904954;Payton Pritchard;;74;2412.4;1221;260.48;337.44;318.2;65.12;15.54;145.04;0.44;991.6;0.84;98.42;1.2482847627772773;2.86078479265693;1.3259067530975115;0.5632465454646037;0.7507052204461359;-0.37780979730936215;-1.173794502732639;-1.0041673760337282;0.010594028554716844
69;0.46573685462809167;Adem Bona;;71;1462.6000000000001;596.4;0.4828;487.77;42.6;43.31;119.28;100.11;0.7;350.03;0.66;151.94;-0.012315348773136578;-1.0572031997047493;-0.7002879314000006;1.3763032161895625;0.03784323522012604;3.1103967768239618;-0.4397510220018564;2.56200355865975;-0.6853575933608325
70;0.44762883264895703;Lauri Markkanen;Unrestricted Free Agent;66;2138.4;1458.6000000000001;220.07700000000003;472.56;120.12;48.839999999999996;32.339999999999996;95.03999999999999;0.46;1030.26;0.89;316.8;1.727821404635072;2.251937971016586;-0.13036553683451738;1.2940402483073925;0.21859182661397428;0.18708195558672264;-0.35691994149206174;-0.36543365207566525;-0.7980947819168901
71;0.43988078566356387;Jimmy Butler III;;66;2204.4;1089;47.6982;349.14;379.5;104.94000000000001;17.82;93.05999999999999;0.51;677.16;0.87;405.23999999999995;0.9818755173007249;-0.34569795943849396;1.7765806796566461;0.6265257515278114;2.05222581887345;-0.30114591655917916;-0.3245717088669348;0.8351772794022946;-1.3420423909242438
72;0.4361081748459641;Devin Booker;Unrestricted Free Agent, New Team, New Contract;73;2584.2;2124.3;216.9195;348.94;584;64.24;21.9;281.05;0.47;1541.76;0.88;502.96999999999997;3.071371667617958;2.204356508270518;3.2800524248661573;0.6254440556976711;0.7219423342930458;-0.1639579194272729;-3.395856684219258;0.004602203221567393;-2.4229810167067103
73;0.42058321888974276;Goga Bitadze;;75;1545;532.5;7.74;476.25;127.5;55.5;98.25;66;0.59;364.5;0.66;143.25;-0.14128164260610393;-0.9478419355904927;-0.07610821908563627;1.3139975363734813;0.4362745786362222;2.403273350430827;0.11752080367646547;1.3599402202374664;-0.6805257220645446
74;0.41763003047945446;Austin Reaves;Restricted Free Agent;75;2662.5;1597.5;214.035;315;390.75;78.75;24.75;180.75;0.47;1091.25;0.87;412.5;2.0081565879433527;2.1608889772203095;1.8592900054933552;0.44188027332286167;1.1962031048400152;-0.06812806848954416;-1.7572063143706596;-0.024409906458261726;-2.058004385186339
75;0.4059788082178645;John Collins;Unrestricted Free Agent;68;1870;992.8;93.88080000000001;435.88;82.28;51.68;68.68;121.04;0.54;669.8;0.83;212.84;0.7877196884003889;0.350243659379103;-0.40856294924883474;1.095657233059661;0.3114175046534915;1.408996616315516;-0.7816947133371622;1.4825366427429936;-0.5925044080043772
