Rank;Value;Player Name;Status;Games Played;Total Minutes;PTS;TPM;REB;AST;STL;BLK;TOV;FG%;FGA;FT%;FTA;zPTS;zTPM;zAST;zREB;zSTL;zBLK;zTOV;zFG%;zFT%
334;-0.28220608094630395;Cam Spencer;;27;11.1;5.4;1.0218;1.4;1.7;0.41;0.06;0.34;0.44;4.11;0.87;0.82;-0.6272839977163874;-0.10814229203372916;-0.25556402123616584;-0.9656641094711859;-0.6796531638887875;-0.8819004675702011;1.023542705071127;-0.31359400415438293;0.2684046224829774
335;-0.28521800963024074;Josh Green;New Contract;58;19.6;5.1;0.8732;2.67;1.19;0.79;0.13;0.93;0.44;4.28;0.75;0.65;-0.6726840936690551;-0.2697066200533845;-0.528624569178736;-0.44612381545809326;0.2773176782519311;-0.7168248707117721;0.3017444771204776;-0.32391490570870224;-0.18814536726483172
336;-0.28669447519584257;Georges Niang;Unrestricted Free Agent, New Team;39;14.7;7.6;1.6441;2.15;1.04;0.27;0.13;0.74;0.45;6.05;0.79;0.61;-0.2943499607301587;0.5684491031656751;-0.6089364950441978;-0.6588489752114856;-1.0322213688879995;-0.7168248707117721;0.5341879742571275;-0.3009147874566953;-0.07079089614307676
337;-0.28678139840015854;Kenrich Williams;;48;14.2;4.8;0.6903;2.76;1.18;0.53;0.09;0.47;0.5;3.91;0.66;0.37;-0.7180841896217227;-0.46856338717851875;-0.5339786975697668;-0.40930599934692924;-0.37745184531803416;-0.811153783202303;0.8645024175565772;0.20442689593934998;-0.3314239968600796
338;-0.29408568102261046;Jaylen Clark;;69;13.8;4.1;0.4551;1.56;0.94;0.88;0.08;0.37;0.46;3.16;0.78;0.91;-0.8240177468446137;-0.7242829696160888;-0.6624777789545057;-0.9002102141624497;0.5039686671799959;-0.8347360113249356;0.9868411002600771;-0.11963734815790607;-0.07221882758306719
339;-0.29638610004718036;Nigel Hayes-Davis;;48;13.7;5.4;0.8645;2.5;0.94;0.59;0.18;0.85;0.43;4.38;0.86;0.9;-0.6272839977163874;-0.2791656352200803;-0.6624777789545057;-0.5156685792236253;-0.22635118603265772;-0.5989137300986086;0.3996154232832776;-0.42443396138097494;0.2672045449189394
340;-0.3024210325315598;Dalton Knecht;;74;15.8;7.8;1.4274;2.29;0.64;0.22;0.1;0.43;0.46;6.37;0.76;0.68;-0.2640832300950469;0.3328435184963663;-0.8231016306854293;-0.6015768168163413;-1.1581385849591468;-0.7875715550796702;0.9134378906379772;-0.1760828350988143;-0.15751604918393272
341;-0.3030712944909356;Rob Dillingham;;64;18.8;8.2;0.8784999999999998;1.99;3.23;0.74;0.06;1.7;0.45;7.38;0.71;0.92;-0.2035497688248236;-0.2639442315035585;0.5636176225915448;-0.7243028705202216;0.15140046218078385;-0.8819004675702011;-0.6402633796964715;-0.3529812613463318;-0.37571775572914096
342;-0.308334531922569;Oscar Tshiebwe;;43;9.8;4.2;0;4.04;0.37;0.43;0.19;0.44;0.61;2.84;0.71;1;-0.8088843815270578;-1.2190873147153158;-0.9676630972432605;0.11432516312295952;-0.6292862774603286;-0.5753315019759758;0.9012040223676272;0.804592726502741;-0.39488012637451014
343;-0.30968304656534024;Maxime Raynaud;New Contract;48;15.7;6.4;0.6752;4.55;1.56;0.41;0.58;1.52;0.44;5.67;0.66;1.05;-0.47595034454082885;-0.4849807583299104;-0.3305218187105968;0.3229594544195557;-0.6796531638887875;0.3443753948066997;-0.42005375083017177;-0.4083034537116421;-0.6550189783023801
344;-0.3145956170154871;Dominick Barlow;;31;11.9;4.1;0.17689999999999997;2.49;0.63;0.3;0.48;0.24;0.57;2.88;0.68;0.9;-0.8240177468446137;-1.026754006325834;-0.8284557590764602;-0.5197594476804213;-0.9566710392453113;0.10855311358037266;1.145881387774627;0.5684164493433929;-0.4985535046651357
345;-0.32021704730637884;Jared Butler;;33;11.8;5.4;0.6911999999999999;1.23;2.47;0.48;0.16;0.95;0.47;4.39;0.81;0.71;-0.6272839977163874;-0.46758486836817104;0.15670386487320498;-1.035208873236718;-0.5033690613891815;-0.6460781863438739;0.27727674057977775;-0.046602420966938236;0.010193376810878096
346;-0.32788145132790897;Jock Landale;;51;11.1;4.3;0.2135;3.09;0.88;0.25;0.35;0.5;0.53;3.27;0.77;0.79;-0.793751016209502;-0.9869609080383549;-0.6946025493006904;-0.27430734027266107;-1.0825882553164583;-0.19801585201385258;0.8278008127455272;0.37201585152254923;-0.12052380506773785
347;-0.3303553363481664;Caleb Martin;;63;16.8;4.8;0.5495;2.48;1.34;0.59;0.37;0.8;0.43;4.12;0.72;0.97;-0.7180841896217227;-0.621647218841826;-0.44831264331327414;-0.5238503161372173;-0.22635118603265772;-0.1508513957685871;0.4607847646350275;-0.40304255329144373;-0.3418432887617959
348;-0.3304714685774627;Jericho Sims;;47;12.8;2.6;0;4.32;0.6;0.22;0.43;0.65;0.68;1.77;0.63;0.25;-1.0510182266079515;-1.2190873147153158;-0.8445181442495524;0.22886947991324777;-1.1581385849591468;-0.009358027032790855;0.6442927886902774;0.7444854710349804;-0.309770659270912
349;-0.3307708722011287;Christian Koloko;;19;9.8;2.9;0.015400000000000002;2.69;0.39;0.25;0.63;0.29;0.61;2.07;0.66;0.53;-1.0056181306552838;-1.2023437706271416;-0.9569548404611989;-0.43794207854450123;-1.0825882553164583;0.46228653541986336;1.084712046422877;0.5690746364465079;-0.4075639924948227
350;-0.33510740523221605;GG Jackson;;61;16.7;7.8;1.1655;3.53;0.9;0.38;0.27;1.06;0.41;6.89;0.77;1.38;-0.2640832300950469;0.04809454468514337;-0.6838942925186289;-0.09430912817363685;-0.7552034935314758;-0.3866736769949141;0.1427041896059277;-0.9280877719536939;-0.09451378811361927
351;-0.3382975128402283;Dario Šarić;Unrestricted Free Agent, New Team;34;16.7;5.5;0.7788;3.99;1.74;0.49;0.1;1.21;0.43;4.75;0.76;0.98;-0.6121506323988316;-0.3723423708276473;-0.23414750767204265;0.09387082083897956;-0.478185618174952;-0.7875715550796702;-0.04080383444932203;-0.45487558058530525;-0.15847133721326304
352;-0.339800693059834;Brandon Williams;;17;16.7;8.3;0.7688;1.91;2.58;0.67;0.22;1.38;0.42;6.96;0.74;2.3;-0.18841640350726752;-0.3832148020537345;0.21559927717454358;-0.7570298181745896;-0.024883640318822075;-0.5045848176080777;-0.24877959504527178;-0.7867842155393354;-0.3801122224659508
353;-0.33983977335104587;Nikola Topić;;61;15.7;6.1;0.7040000000000001;1.78;3.14;0.48;0.1;1.27;0.43;5.37;0.82;0.99;-0.5213504404934965;-0.4536681563987793;0.5154304670722677;-0.8102111081129376;-0.5033690613891815;-0.7875715550796702;-0.11420704407142203;-0.5058858614141778;0.12227479972798436
354;-0.3409402419170846;Steven Adams;New Contract;68;16.7;5.1;0.004;6.85;1.09;0.51;0.6;0.98;0.56;3.93;0.43;1.68;-0.6726840936690551;-1.214738342224881;-0.5821658530890438;1.263859199482637;-0.4278187317464931;0.39153985105196515;0.24057513576872772;0.7142665658103747;-2.781295908637993
355;-0.34121681537863796;John Konchar;New Contract;37;11.2;2;0.41440000000000005;3.15;0.85;0.54;0.24;0.41;0.42;1.7;0.85;0.16;-1.1418184185132867;-0.7685337647062636;-0.7106649344737828;-0.249762129531885;-0.3522684021038047;-0.45742036136281233;0.9379056271786772;-0.2405957707059132;-0.08779318418867088
